Value,MODLAND,VI Usefulness,Aerosol Quantity,Adjacent cloud detected,Atmosphere BRDF Correction,Mixed Clouds,Land/Water Mask,Possible snow/ice,Possible shadow
2057,"VI produced, but check other QA",Decreasing quality (0010),Climatology,No,No,No,Land (Nothing else but land),No,No
2058,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Climatology,No,No,No,Land (Nothing else but land),No,No
2061,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Land (Nothing else but land),No,No
2062,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Land (Nothing else but land),No,No
2065,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),No,No
2066,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),No,No
2069,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),No,No
2070,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),No,No
2109,"VI produced, but check other QA",Not useful for any other reason/not processed,Climatology,No,No,No,Land (Nothing else but land),No,No
2110,"Pixel produced, but most probably cloudy",Not useful for any other reason/not processed,Climatology,No,No,No,Land (Nothing else but land),No,No
2112,VI produced with good quality,Highest quality,Low,No,No,No,Land (Nothing else but land),No,No
2114,"Pixel produced, but most probably cloudy",Highest quality,Low,No,No,No,Land (Nothing else but land),No,No
2116,VI produced with good quality,Lower quality,Low,No,No,No,Land (Nothing else but land),No,No
2118,"Pixel produced, but most probably cloudy",Lower quality,Low,No,No,No,Land (Nothing else but land),No,No
2120,VI produced with good quality,Decreasing quality (0010),Low,No,No,No,Land (Nothing else but land),No,No
2122,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Low,No,No,No,Land (Nothing else but land),No,No
2124,VI produced with good quality,Decreasing quality (0011),Low,No,No,No,Land (Nothing else but land),No,No
2126,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,No,No,No,Land (Nothing else but land),No,No
